gsId	id	name	iconId	materialsIds	materialsName	materialsCount	rank	groups	sequence	point	money	level	profession	remark	rates
98	1050401067	天上皮鞋	1150401004	1050401066:1050000001:1042010105:1042200402:1042202201	宗师皮鞋:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:4:2:8:4	1	7	5	30000000	0	1500	13:17:0	物免：7800 魔免：4000 物防：9%	7000:2500:500:0:0:0
99	1050403061	初心短靴	1150403004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	5	50000	0	1000	10:15:19	物免：383 魔免：714	7000:2500:500:0:0:0
100	1050403062	熟练短靴	1150403006	1050403061:1042200101:1042200201:1042010102:1042180601	初心短靴:素材之星·天上:素材之星·天下:奇妙宝石:美丽幻象之星	1:20:10:2:1	1	2	5	300000	0	1200	10:15:19	物免：1288 魔免：2135	7000:2500:500:0:0:0
101	1050403063	会心短靴	1150403003	1050403062:1042200101:1042200201:1042010102:1042201201	熟练短靴:素材之星·天上:素材之星·天下:奇妙宝石:鬼泣组合之星	1:60:30:6:1	1	3	5	1000000	0	2200	10:15:19	物免：1975 魔免：3220 魔防：2%	7000:2500:500:0:0:0
102	1050403064	达人短靴	1150403007	1050403063:1050000001:1042010102:1042201801:0	会心短靴:奇妙之心:奇妙宝石:街霸卫队之星:0	1:2:20:2:0	1	4	5	3000000	0	3200	10:15:19	物免：2200 魔免：3675 魔防：3%	7000:2500:500:0:0:0
103	1050403065	大师短靴	1150403004	1050403064:1050000001:1042010102:1042202201:0	达人短靴:奇妙之心:奇妙宝石:汽车人之星:0	1:3:30:2:0	1	5	5	10000000	0	4200	10:15:19	物免：2450 魔免：4800 魔防：5%	7000:2500:500:0:0:0
104	1050403066	宗师短靴	1150403006	1050403065:1050000001:1042010105:1042200402:1042202201	大师短靴:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:3:1:4:3	1	6	5	20000000	0	5200	10:15:19	物免：2700 魔免：5100 魔防：7%	7000:2500:500:0:0:0
105	1050403067	天上短靴	1150403004	1050403066:1050000001:1042010105:1042200402:1042202201	宗师短靴:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:4:2:8:4	1	7	5	30000000	0	1500	15:19:0	物免：4000 魔免：7800 魔防：9%	7000:2500:500:0:0:0
106	1050404061	初心板鞋	1150404004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	5	50000	0	1000	11:16:20	物免：398 魔免：497	7000:2500:500:0:0:0
107	1050404062	熟练板鞋	1150404006	1050404061:1042200101:1042200201:1042010102:1042190601	初心板鞋:素材之星·天上:素材之星·天下:奇妙宝石:魅魔幻象之星	1:20:10:2:1	1	2	5	300000	0	1200	11:16:20	物免：1230 魔免：1545	7000:2500:500:0:0:0
108	1050404063	会心板鞋	1150404003	1050404062:1042200101:1042200201:1042010102:1042201201	熟练板鞋:素材之星·天上:素材之星·天下:奇妙宝石:鬼泣组合之星	1:60:30:6:1	1	3	5	1000000	0	2200	11:16:20	物免：1905 魔免：2370 物防：1% 魔防：1%	7000:2500:500:0:0:0
109	1050404064	达人板鞋	1150404007	1050404063:1050000001:1042010102:1042201801:0	会心板鞋:奇妙之心:奇妙宝石:街霸卫队之星:0	1:2:20:2:0	1	4	5	3000000	0	3200	11:16:20	物免：2115 魔免：2640 物防：1% 魔防：2%	7000:2500:500:0:0:0
110	1050404065	大师板鞋	1150404004	1050404064:1050000001:1042010102:1042202201:0	达人板鞋:奇妙之心:奇妙宝石:汽车人之星:0	1:3:30:2:0	1	5	5	10000000	0	4200	11:16:20	物免：2400 魔免：2970 物防：2% 魔防：3%	7000:2500:500:0:0:0
111	1050404066	宗师板鞋	1150404006	1050404065:1050000001:1042010105:1042200402:1042202201	大师板鞋:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:3:1:4:3	1	6	5	20000000	0	5200	11:16:20	物免：2785 魔免：3450 物防：3% 魔防：4%	7000:2500:500:0:0:0
112	1050404067	天上板鞋	1150404004	1050404066:1050000001:1042010105:1042200402:1042202201	宗师板鞋:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:4:2:8:4	1	7	5	30000000	0	1500	16:20:0	物免：4200 魔免：5500 物防：4% 魔防：5%	7000:2500:500:0:0:0
113	1050602061	初心运动手套	1150602004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	4	50000	0	800	7:14:18	物理爆击率：10% 精力：1524	7000:2500:500:0:0:0
114	1050602062	熟练运动手套	1150602006	1050602061:1042200101:1042200201:1042010102:1042160601	初心运动手套:素材之星·天上:素材之星·天下:奇妙宝石:小强阴暗体之星	1:20:10:2:1	1	2	4	300000	0	1200	7:14:18	物理爆击率：19% 精力：4500	7000:2500:500:0:0:0
115	1050602063	会心运动手套	1150602005	1050602062:1042200101:1042200201:1042010102:1042201101	熟练运动手套:素材之星·天上:素材之星·天下:奇妙宝石:血色十字军之星	1:60:30:6:1	1	3	4	1000000	0	2200	7:14:18	物理爆击率：22% 精力：7900	7000:2500:500:0:0:0
116	1050602064	达人运动手套	1150602007	1050602063:1050000001:1042010102:1042201701:0	会心运动手套:奇妙之心:奇妙宝石:黑蝙蝠中队之星:0	1:2:20:2:0	1	4	4	3000000	0	3200	7:14:18	物理爆击率：25% 精力：9000	7000:2500:500:0:0:0
117	1050602065	大师运动手套	1150602004	1050602064:1050000001:1042010102:1042202201:0	达人运动手套:奇妙之心:奇妙宝石:汽车人之星:0	1:3:30:2:0	1	5	4	10000000	0	4200	7:14:18	物理爆击率：29% 精力：11000	7000:2500:500:0:0:0
118	1050602066	宗师运动手套	1150602006	1050602065:1050000001:1042010105:1042200402:1042202201	大师运动手套:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:3:1:4:3	1	6	4	20000000	0	5200	7:14:18	物理爆击率：33% 精力：13500	7000:2500:500:0:0:0
119	1050602067	天上运动手套	1150602004	1050602066:1050000001:1042010105:1042200402:1042202201	宗师运动手套:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:4:2:8:4	1	7	4	30000000	0	1500	14:18:0	物理爆击率：40% 精力：23500	7000:2500:500:0:0:0
120	1050601061	初心皮手套	1150601004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	4	50000	0	800	5:13:17	物理爆击率：6.4% 精力：1491	7000:2500:500:0:0:0
121	1050601062	熟练皮手套	1150601006	1050601061:1042200101:1042200201:1042010102:1042130601	初心皮手套:素材之星·天上:素材之星·天下:奇妙宝石:幻影拳王之星	1:20:10:2:1	1	2	4	300000	0	1200	5:13:17	物理爆击率：12.2% 精力：4500	7000:2500:500:0:0:0
122	1050601063	会心皮手套	1150601005	1050601062:1042200101:1042200201:1042010102:1042201101	熟练皮手套:素材之星·天上:素材之星·天下:奇妙宝石:血色十字军之星	1:60:30:6:1	1	3	4	1000000	0	2200	5:13:17	物理爆击率：14.2% 精力：7800	7000:2500:500:0:0:0
123	1050601064	达人皮手套	1150601007	1050601063:1050000001:1042010102:1042201701:0	会心皮手套:奇妙之心:奇妙宝石:黑蝙蝠中队之星:0	1:2:20:2:0	1	4	4	3000000	0	3200	5:13:17	物理爆击率：16.2% 精力：8700	7000:2500:500:0:0:0
124	1050601065	大师皮手套	1150601004	1050601064:1050000001:1042010102:1042202201:0	达人皮手套:奇妙之心:奇妙宝石:汽车人之星:0	1:3:30:2:0	1	5	4	10000000	0	4200	5:13:17	物理爆击率：19.2% 精力：10200	7000:2500:500:0:0:0
125	1050601066	宗师皮手套	1150601006	1050601065:1050000001:1042010105:1042200402:1042202201	大师皮手套:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:3:1:4:3	1	6	4	20000000	0	5200	5:13:17	物理爆击率：22.2% 精力：12200	7000:2500:500:0:0:0
126	1050601067	天上皮手套	1150601004	1050601066:1050000001:1042010105:1042200402:1042202201	宗师皮手套:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:4:2:8:4	1	7	4	30000000	0	1500	13:17:0	物理爆击率：26.2% 精力：23500	7000:2500:500:0:0:0
127	1050603061	初心橡胶手套	1150603004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	4	50000	0	800	10:15:19	精神爆击率：5.5% 精力：1875	7000:2500:500:0:0:0
128	1050603062	熟练橡胶手套	1150603006	1050603061:1042200101:1042200201:1042010102:1042140601	初心橡胶手套:素材之星·天上:素材之星·天下:奇妙宝石:幻影绷带萝莉之星	1:20:10:2:1	1	2	4	300000	0	1200	10:15:19	精神爆击率：10.5% 精力：5700	7000:2500:500:0:0:0
129	1050603063	会心橡胶手套	1150603005	1050603062:1042200101:1042200201:1042010102:1042201101	熟练橡胶手套:素材之星·天上:素材之星·天下:奇妙宝石:血色十字军之星	1:60:30:6:1	1	3	4	1000000	0	2200	10:15:19	精神爆击率：12% 精力：9800	7000:2500:500:0:0:0
130	1050603064	达人橡胶手套	1150603007	1050603063:1050000001:1042010102:1042201701:0	会心橡胶手套:奇妙之心:奇妙宝石:黑蝙蝠中队之星:0	1:2:20:2:0	1	4	4	3000000	0	3200	10:15:19	精神爆击率：13.5% 精力：11000	7000:2500:500:0:0:0
131	1050603065	大师橡胶手套	1150603004	1050603064:1050000001:1042010102:1042202201:0	达人橡胶手套:奇妙之心:奇妙宝石:汽车人之星:0	1:3:30:2:0	1	5	4	10000000	0	4200	10:15:19	精神爆击率：16% 精力：13900	7000:2500:500:0:0:0
132	1050603066	宗师橡胶手套	1150603006	1050603065:1050000001:1042010105:1042200402:1042202201	大师橡胶手套:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:3:1:4:3	1	6	4	20000000	0	5200	10:15:19	精神爆击率：18.5% 精力：17300	7000:2500:500:0:0:0
133	1050603067	天上橡胶手套	1150603004	1050603066:1050000001:1042010105:1042200402:1042202201	宗师橡胶手套:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:4:2:8:4	1	7	4	30000000	0	1500	15:19:0	精神爆击率：21.5% 精力：21000	7000:2500:500:0:0:0
134	1050604061	初心霹雳手套	1150604004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	4	50000	0	800	11:16:20	精神爆击率：8.2% 精力：2295	7000:2500:500:0:0:0
135	1050604062	熟练霹雳手套	1150604006	1050604061:1042200101:1042200201:1042010102:1042150601	初心霹雳手套:素材之星·天上:素材之星·天下:奇妙宝石:幻影月亮战士之星	1:20:10:2:1	1	2	4	300000	0	1200	11:16:20	精神爆击率：15.6% 精力：6850	7000:2500:500:0:0:0
136	1050604063	会心霹雳手套	1150604005	1050604062:1042200101:1042200201:1042010102:1042201101	熟练霹雳手套:素材之星·天上:素材之星·天下:奇妙宝石:血色十字军之星	1:60:30:6:1	1	3	4	1000000	0	2200	11:16:20	精神爆击率：18.6% 精力：12000	7000:2500:500:0:0:0
137	1050604064	达人霹雳手套	1150604007	1050604063:1050000001:1042010102:1042201701:0	会心霹雳手套:奇妙之心:奇妙宝石:黑蝙蝠中队之星:0	1:2:20:2:0	1	4	4	3000000	0	3200	11:16:20	精神爆击率：21.6% 精力：13500	7000:2500:500:0:0:0
138	1050604065	大师霹雳手套	1150604004	1050604064:1050000001:1042010102:1042202201:0	达人霹雳手套:奇妙之心:奇妙宝石:汽车人之星:0	1:3:30:2:0	1	5	4	10000000	0	4200	11:16:20	精神爆击率：24.6% 精力：17000	7000:2500:500:0:0:0
139	1050604066	宗师霹雳手套	1150604006	1050604065:1050000001:1042010105:1042200402:1042202201	大师霹雳手套:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:3:1:4:3	1	6	4	20000000	0	5200	11:16:20	精神爆击率：27.6% 精力：21000	7000:2500:500:0:0:0
140	1050604067	天上霹雳手套	1150604004	1050604066:1050000001:1042010105:1042200402:1042202201	宗师霹雳手套:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:4:2:8:4	1	7	4	30000000	0	1500	16:20:0	精神爆击率：32.6% 精力：36000	7000:2500:500:0:0:0
141	1050607133	真女王鞭·风	1150007102	1050007102:1042200101:1042200201:0:0	女王鞭·风:素材之星·天上:素材之星·天下:0:0	1:12:3:0:0	2	1	1	1000000	0	1	7:14:18	物攻：3565	10000:0:0:0:0:0
142	1050607134	真MX扫把·风	1150007103	1050007103:1042200101:1042200201:1042200301:0	MX扫把·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:20:5:1:0	2	2	1	2000000	0	1	7:14:18	物攻：5348	10000:0:0:0:0:0
143	1050607135	真流氓板砖·风	1150007104	1050007104:1042200101:1042200201:1042200301:0	流氓板砖·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:30:8:2:0	2	3	1	4000000	0	1	7:14:18	物攻：7130	10000:0:0:0:0:0
144	1050607136	真甜心冰激凌·风	1150007105	1050007105:1042200101:1042200201:1042200301:0	甜心冰激凌·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:50:12:3:0	2	4	1	6000000	0	1	7:14:18	物攻：8913	10000:0:0:0:0:0
145	1050607137	真山寨辣椒水·风	1150007106	1050007106:1042200101:1042200201:1042200301:0	山寨辣椒水·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:70:15:4:0	2	5	1	8000000	0	1	7:14:18	物攻：10695	10000:0:0:0:0:0
146	1050607138	真苍蝇拍·风	1150007107	1050007107:1042200101:1042200201:1042200301:0	苍蝇拍·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:100:20:5:0	2	6	1	10000000	0	1	7:14:18	物攻：12478	10000:0:0:0:0:0
147	1050607139	真神秘炸弹·风	1150007108	1050007108:1042200101:1042200201:1042200301:1042200401	神秘炸弹·风:素材之星·天上:素材之星·天下:素材之星·天地:素材之星·无双	1:150:30:15:1	2	7	1	12000000	0	1	7:14:18	物攻：14260	10000:0:0:0:0:0
148	1050607140	真蓝魔铁衣·风	1150207109	1050207109:1042200101:1042200201:0:0	蓝魔铁衣·风:素材之星·天上:素材之星·天下:0:0	1:12:3:0:0	2	1	2	1000000	0	1	7:14:18	物防：25% 魔防：13% 生命：3569	10000:0:0:0:0:0
149	1050607141	真梦幻缕衣·风	1150207110	1050207110:1042200101:1042200201:1042200301:0	梦幻缕衣·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:20:5:1:0	2	2	2	2000000	0	1	7:14:18	物防：29% 魔防：15% 生命：7138	10000:0:0:0:0:0
150	1050607142	真百变神衣·风	1150207111	1050207111:1042200101:1042200201:1042200301:0	百变神衣·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:30:8:2:0	2	3	2	4000000	0	1	7:14:18	物防：33% 魔防：17% 生命：14277	10000:0:0:0:0:0
151	1050607143	真上古玄衣·风	1150207112	1050207112:1042200101:1042200201:1042200301:0	上古玄衣·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:50:12:3:0	2	4	2	6000000	0	1	7:14:18	物防：37% 魔防：19% 生命：21416	10000:0:0:0:0:0
152	1050607144	真奇妙之衣·风	1150207113	1050207113:1042200101:1042200201:1042200301:0	奇妙之衣·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:70:15:4:0	2	5	2	8000000	0	1	7:14:18	物防：41% 魔防：21% 生命：28555	10000:0:0:0:0:0
153	1050607145	真王者圣衣·风	1150207114	1050207114:1042200101:1042200201:1042200301:0	王者圣衣·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:100:20:5:0	2	6	2	10000000	0	1	7:14:18	物防：45% 魔防：23% 生命：35693	10000:0:0:0:0:0
154	1050607146	真蓝魔之裤·风	1150307115	1050307115:1042200101:1042200201:0:0	蓝魔之裤·风:素材之星·天上:素材之星·天下:0:0	1:12:3:0:0	2	1	3	1000000	0	1	7:14:18	生命：5914 精力：2821	10000:0:0:0:0:0
155	1050607147	真梦幻丝裤·风	1150307116	1050307116:1042200101:1042200201:1042200301:0	梦幻丝裤·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:20:5:1:0	2	2	3	2000000	0	1	7:14:18	生命：11827 精力：5642	10000:0:0:0:0:0
156	1050607148	真百变短裤·风	1150307117	1050307117:1042200101:1042200201:1042200301:0	百变短裤·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:30:8:2:0	2	3	3	4000000	0	1	7:14:18	生命：23654 精力：11284 抗物理爆击伤害：15% 抗精神爆击伤害：5%	10000:0:0:0:0:0
157	1050607149	真上古玄裤·风	1150307118	1050307118:1042200101:1042200201:1042200301:0	上古玄裤·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:50:12:3:0	2	4	3	6000000	0	1	7:14:18	生命：35482 精力：16926 抗物理爆击伤害：20% 抗精神爆击伤害：10%	10000:0:0:0:0:0
158	1050607150	真秒秒之裤·风	1150307119	1050307119:1042200101:1042200201:1042200301:0	秒秒之裤·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:70:15:4:0	2	5	3	8000000	0	1	7:14:18	生命：47309 精力：22568 抗物理爆击伤害：25% 抗精神爆击伤害：15%	10000:0:0:0:0:0
159	1050607151	真王者圣裤·风	1150307120	1050307120:1042200101:1042200201:1042200301:0	王者圣裤·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:100:20:5:0	2	6	3	10000000	0	1	7:14:18	生命：59136 精力：28210 抗物理爆击伤害：30% 抗精神爆击伤害：20%	10000:0:0:0:0:0
160	1050607152	真蓝魔之靴·风	1150407121	1050407121:1042200101:1042200201:0:0	蓝魔之靴·风:素材之星·天上:素材之星·天下:0:0	1:12:3:0:0	2	1	5	1000000	0	1	7:14:18	物免：673 魔免：538	10000:0:0:0:0:0
161	1050607153	真梦幻皮鞋·风	1150407122	1050407122:1042200101:1042200201:1042200301:0	梦幻皮鞋·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:20:5:1:0	2	2	5	2000000	0	1	7:14:18	物免：1346 魔免：1076	10000:0:0:0:0:0
162	1050607154	真百变灵靴·风	1150407123	1050407123:1042200101:1042200201:1042200301:0	百变灵靴·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:30:8:2:0	2	3	5	4000000	0	1	7:14:18	物免：2018 魔免：1615 物防：1% 魔防：1%	10000:0:0:0:0:0
163	1050607155	真上古之鞋·风	1150407124	1050407124:1042200101:1042200201:1042200301:0	上古之鞋·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:50:12:3:0	2	4	5	6000000	0	1	7:14:18	物免：2691 魔免：2153 物防：3% 魔防：1%	10000:0:0:0:0:0
164	1050607156	真秒秒皮鞋·风	1150407125	1050407125:1042200101:1042200201:1042200301:0	秒秒皮鞋·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:70:15:4:0	2	5	5	8000000	0	1	7:14:18	物免：3364 魔免：2691 物防：4% 魔防：2%	10000:0:0:0:0:0
165	1050607157	真王者圣靴·风	1150407126	1050407126:1042200101:1042200201:1042200301:0	王者圣靴·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:100:20:5:0	2	6	5	10000000	0	1	7:14:18	物免：4037 魔免：3229 物防：5% 魔防：3%	10000:0:0:0:0:0
166	1050607158	真蓝魔手套·风	1150607127	1050607127:1042200101:1042200201:0:0	蓝魔手套·风:素材之星·天上:素材之星·天下:0:0	1:12:3:0:0	2	1	4	1000000	0	1	7:14:18	物理爆击率：20% 精力：1703 辅助值：10%	10000:0:0:0:0:0
167	1050607159	真梦幻之手·风	1150607128	1050607128:1042200101:1042200201:1042200301:0	梦幻之手·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:20:5:1:0	2	2	4	2000000	0	1	7:14:18	物理爆击率：25% 精力：3405 辅助值：15%	10000:0:0:0:0:0
168	1050607160	真百变魔手·风	1150607129	1050607129:1042200101:1042200201:1042200301:0	百变魔手·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:30:8:2:0	2	3	4	4000000	0	1	7:14:18	物理爆击率：30% 精力：6811 辅助值：20%	10000:0:0:0:0:0
169	1050607161	真上古之手·风	1150607130	1050607130:1042200101:1042200201:1042200301:0	上古之手·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:50:12:3:0	2	4	4	6000000	0	1	7:14:18	物理爆击率：35% 精力：10216 辅助值：25%	10000:0:0:0:0:0
170	1050607162	真秒秒手套·风	1150607131	1050607131:1042200101:1042200201:1042200301:0	秒秒手套·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:70:15:4:0	2	5	4	8000000	0	1	7:14:18	物理爆击率：40% 精力：13621 辅助值：30%	10000:0:0:0:0:0
171	1050607163	真王者之手·风	1150607132	1050607132:1042200101:1042200201:1042200301:0	王者之手·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:100:20:5:0	2	6	4	10000000	0	1	7:14:18	物理爆击率：45% 精力：17027 辅助值：35%	10000:0:0:0:0:0
172	1050607164	限量版女王鞭·风	1150007102	1050607133:1042200101:1042200201:0:0	真女王鞭·风:素材之星·天上:素材之星·天下:0:0	1:24:9:0:0	3	1	1	2000000	0	1	7:14:18	物攻：4960	10000:0:0:0:0:0
173	1050607165	限量版MX扫把·风	1150007103	1050607134:1042200101:1042200201:1042200301:0	真MX扫把·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:40:15:3:0	3	2	1	4000000	0	1	7:14:18	物攻：7440	10000:0:0:0:0:0
174	1050607166	限量版流氓板砖·风	1150007104	1050607135:1042200101:1042200201:1042200301:0	真流氓板砖·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:60:24:6:0	3	3	1	8000000	0	1	7:14:18	物攻：9920	10000:0:0:0:0:0
175	1050607167	限量版冰激凌·风	1150007105	1050607136:1042200101:1042200201:1042200301:0	真甜心冰激凌·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:100:36:9:0	3	4	1	12000000	0	1	7:14:18	物攻：12400	10000:0:0:0:0:0
176	1050607168	限量版辣椒水·风	1150007106	1050607137:1042200101:1042200201:1042200301:0	真山寨辣椒水·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:140:45:12:0	3	5	1	16000000	0	1	7:14:18	物攻：14880	10000:0:0:0:0:0
177	1050607169	限量版苍蝇拍·风	1150007107	1050607138:1042200101:1042200201:1042200301:1042200401	真苍蝇拍·风:素材之星·天上:素材之星·天下:素材之星·天地:素材之星·无双	1:200:60:15:1	3	6	1	20000000	0	1	7:14:18	物攻：17360	10000:0:0:0:0:0
178	1050607170	限量版神秘炸弹·风	1150007108	1050607139:1042200101:1042200201:1042200301:1042200401	真神秘炸弹·风:素材之星·天上:素材之星·天下:素材之星·天地:素材之星·无双	1:300:90:45:3	3	7	1	24000000	0	1	7:14:18	物攻：19840	10000:0:0:0:0:0
179	1050607171	限量版蓝魔铁衣·风	1150207109	1050607140:1042200101:1042200201:0:0	真蓝魔铁衣·风:素材之星·天上:素材之星·天下:0:0	1:24:9:0:0	3	1	2	2000000	0	1	7:14:18	物防：25% 魔防：13% 生命：6830	10000:0:0:0:0:0
180	1050607172	限量版梦幻缕衣·风	1150207110	1050607141:1042200101:1042200201:1042200301:0	真梦幻缕衣·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:40:15:3:0	3	2	2	4000000	0	1	7:14:18	物防：29% 魔防：15% 生命：13659	10000:0:0:0:0:0
181	1050607173	限量版百变神衣·风	1150207111	1050607142:1042200101:1042200201:1042200301:0	真百变神衣·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:60:24:6:0	3	3	2	8000000	0	1	7:14:18	物防：33% 魔防：17% 生命：27318	10000:0:0:0:0:0
182	1050607174	限量版上古玄衣·风	1150207112	1050607143:1042200101:1042200201:1042200301:0	真上古玄衣·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:100:36:9:0	3	4	2	12000000	0	1	7:14:18	物防：37% 魔防：19% 生命：40977	10000:0:0:0:0:0
183	1050607175	限量版奇妙之衣·风	1150207113	1050607144:1042200101:1042200201:1042200301:0	真奇妙之衣·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:140:45:12:0	3	5	2	16000000	0	1	7:14:18	物防：41% 魔防：21% 生命：54636	10000:0:0:0:0:0
184	1050607176	限量版王者圣衣·风	1150207114	1050607145:1042200101:1042200201:1042200301:1042200401	真王者圣衣·风:素材之星·天上:素材之星·天下:素材之星·天地:素材之星·无双	1:200:60:15:1	3	6	2	20000000	0	1	7:14:18	物防：45% 魔防：23% 生命：68296	10000:0:0:0:0:0
185	1050607177	限量版蓝魔之裤·风	1150307115	1050607146:1042200101:1042200201:0:0	真蓝魔之裤·风:素材之星·天上:素材之星·天下:0:0	1:24:9:0:0	3	1	3	2000000	0	1	7:14:18	生命：8448 精力：4030	10000:0:0:0:0:0
186	1050607178	限量版梦幻丝裤·风	1150307116	1050607147:1042200101:1042200201:1042200301:0	真梦幻丝裤·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:40:15:3:0	3	2	3	4000000	0	1	7:14:18	生命：16896 精力：8060	10000:0:0:0:0:0
187	1050607179	限量版百变短裤·风	1150307117	1050607148:1042200101:1042200201:1042200301:0	真百变短裤·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:60:24:6:0	3	3	3	8000000	0	1	7:14:18	生命：33792 精力：16120 抗物理爆击伤害：15% 抗精神爆击伤害：5%	10000:0:0:0:0:0
188	1050607180	限量版上古玄裤·风	1150307118	1050607149:1042200101:1042200201:1042200301:0	真上古玄裤·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:100:36:9:0	3	4	3	12000000	0	1	7:14:18	生命：50688 精力：24180 抗物理爆击伤害：20% 抗精神爆击伤害：10%	10000:0:0:0:0:0
189	1050607181	限量版秒秒之裤·风	1150307119	1050607150:1042200101:1042200201:1042200301:0	真秒秒之裤·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:140:45:12:0	3	5	3	16000000	0	1	7:14:18	生命：67584 精力：32240 抗物理爆击伤害：25% 抗精神爆击伤害：15%	10000:0:0:0:0:0
190	1050607182	限量版王者圣裤·风	1150307120	1050607151:1042200101:1042200201:1042200301:1042200401	真王者圣裤·风:素材之星·天上:素材之星·天下:素材之星·天地:素材之星·无双	1:200:60:15:1	3	6	3	20000000	0	1	7:14:18	生命：84480 精力：40300 抗物理爆击伤害：30% 抗精神爆击伤害：20%	10000:0:0:0:0:0
191	1050607183	限量版蓝魔之靴·风	1150407121	1050607152:1042200101:1042200201:0:0	真蓝魔之靴·风:素材之星·天上:素材之星·天下:0:0	1:24:9:0:0	3	1	5	2000000	0	1	7:14:18	物免：936 魔免：749	10000:0:0:0:0:0
192	1050607184	限量版梦幻皮鞋·风	1150407122	1050607153:1042200101:1042200201:1042200301:0	真梦幻皮鞋·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:40:15:3:0	3	2	5	4000000	0	1	7:14:18	物免：1872 魔免：1498	10000:0:0:0:0:0
193	1050607185	限量版百变灵靴·风	1150407123	1050607154:1042200101:1042200201:1042200301:0	真百变灵靴·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:60:24:6:0	3	3	5	8000000	0	1	7:14:18	物免：2808 魔免：2246 物防：1% 魔防：1%	10000:0:0:0:0:0
194	1050607186	限量版上古之鞋·风	1150407124	1050607155:1042200101:1042200201:1042200301:0	真上古之鞋·风:素材之星·天上:素材之星·天下:素材之星·天地:0	1:100:36:9:0	3	4	5	12000000	0	1	7:14:18	物免：3744 魔免：2995 物防：3% 魔防：3%	10000:0:0:0:0:0
