id	212	minMoney	maxMoney	propId	dropRate	minNumber	maxNumber																																																																																																																																																																																																																																
组ID	掉钱数	最小钱	最大钱	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数
800019	0	0	0	1042200101	300	1	1	1042200201	200	1	1	1050202023	350	1	1	1050201023	350	1	1	1050203023	350	1	1	1050204023	400	1	1	1041010010	200	1	1	1041020010	200	1	1	1044070501	77	1	1	1044070601	77	1	1	1044060101	77	1	1	1044060401	77	1	1	1044030101	77	1	1	1044110101	77	1	1	1044120207	77	1	1	1044120301	77	1	1	1045010336	250	1	1	1045010337	250	1	1	1045011002	100	1	1	1045000179	800	1	1	1045000181	200	1	1	1044100101	77	1	1	1044050012	77	1	1	1044060009	77	1	1	1044100007	77	1	1	1044100409	77	1	1	1050900028	499	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1000	1	1	1041010013	700	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																								
				素材之星·天上				素材之星·天下				时间运动短裤				时间西裤				时间休闲裤				时间牛仔裤				秘制血瓶				秘制蓝瓶				曲线式射门（二级）				旋转霹雳球（二级）				特种兵体能训练（二级）				野性激发（二级）				高级急救（二级）				心灵启示（二级）				纸牌旋涡（二级）				纸牌风暴（二级）				时间魔术师宝石·天				时间魔术师宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				高级连锁注射（二级）				生锈火箭筒射击（十三级）				爆炸汽油弹（十级）				飞针（八级）				浪漫飞刀（十级）				古寺之夜				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				二十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																											
800020	0	0	0	1042200101	300	1	1	1042200201	200	1	1	1050302024	400	1	1	1050301024	400	1	1	1050303024	400	1	1	1050304024	400	1	1	1041010010	200	1	1	1041020010	200	1	1	1044070502	77	1	1	1044070602	77	1	1	1044060102	77	1	1	1044060402	77	1	1	1044030102	77	1	1	1044110102	77	1	1	1044120201	77	1	1	1044120302	77	1	1	1045010338	250	1	1	1045010339	250	1	1	1045011002	100	1	1	1045000179	650	1	1	1045000181	200	1	1	1044100102	77	1	1	1044050013	77	1	1	1044060010	77	1	1	1044100008	77	1	1	1044100410	77	1	1	1050900029	499	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1000	1	1	1041010013	700	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																								
				素材之星·天上				素材之星·天下				侵略运动鞋				侵略皮鞋				侵略短靴				侵略板鞋				侵略手套				侵略皮手套				侵略橡胶手套				侵略霹雳手套				秘制血瓶				秘制蓝瓶				曲线式射门（三级）				旋转霹雳球（三级）				特种兵体能训练（三级）				野性激发（三级）				高级急救（三级）				心灵启示（三级）				纸牌旋涡（三级）				纸牌风暴（三级）				侵略人造人宝石·天				侵略人造人宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				高级连锁注射（三级）				生锈火箭筒射击（十四级）				飞针（九级）				神秘传说				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				二十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																			
800021	0	0	0	1042200101	300	1	1	1042200201	200	1	1	1050402025	250	1	1	1050401025	200	1	1	1050403025	200	1	1	1050404025	200	1	1	1050602025	200	1	1	1050601025	200	1	1	1050603025	200	1	1	1050604025	200	1	1	1041010010	200	1	2	1041020010	200	1	2	1044070503	91	1	1	1044070603	91	1	1	1044060103	91	1	1	1044060403	91	1	1	1044030103	91	1	1	1044110103	91	1	1	1044120202	91	1	1	1044120303	91	1	1	1045010340	250	1	1	1045010341	250	1	1	1045011002	100	1	1	1045000179	600	1	1	1045000181	200	1	1	1044100103	91	1	1	1044050014	91	1	1	1044100009	91	1	1	1050900020	499	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1000	1	1	1041010013	700	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																
				素材之星·天上				素材之星·天下				雷电足球				雷电手枪				雷电针筒				雷电墨镜				秘制血瓶				秘制蓝瓶				曲线式射门（四级）				旋转霹雳球（四级）				特种兵体能训练（四级）				野性激发（四级）				高级急救（四级）				心灵启示（四级）				纸牌旋涡（四级）				纸牌风暴（四级）				雷电魔神宝石·天				雷电魔神宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				高级连锁注射（四级）				生锈火箭筒射击（十五级）				飞针（十级）				兰色韵律				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				二十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																			
800022	0	0	0	1042200101	300	1	1	1042200201	200	1	1	1050007026	450	1	1	1050005026	400	1	1	1050010026	400	1	1	1050011026	400	1	1	1041010010	200	1	1	1041020010	200	1	1	1044070504	91	1	1	1044070604	91	1	1	1044060104	91	1	1	1044060404	91	1	1	1044030104	91	1	1	1044110104	91	1	1	1044120203	91	1	1	1044120304	91	1	1	1045010342	250	1	1	1045010343	250	1	1	1045011002	100	1	1	1045000179	600	1	1	1045000181	200	1	1	1044100104	91	1	1	1044050015	91	1	1	1044100010	91	1	1	1050900021	499	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1000	1	1	1041010013	700	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																																
				素材之星·天上				素材之星·天下				穿孔运动服				穿孔风衣				穿孔制服				穿孔牛仔服				秘制血瓶				秘制蓝瓶				曲线式射门（五级）				旋转霹雳球（五级）				特种兵体能训练（五级）				野性激发（五级）				高级急救（五级）				心灵启示（五级）				纸牌旋涡（五级）				纸牌风暴（五级）				潜能激发（二级）				能量聚合（二级）				爆破科技（二级）				穿孔多头蛇宝石·天				穿孔多头蛇宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				高级连锁注射（五级）				触动心悬				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				二十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																															
800023	0	0	0	1042200101	288	1	1	1042200201	200	1	1	1050202027	300	1	1	1050201027	300	1	1	1050203027	300	1	1	1050204027	300	1	1	1041010010	200	1	1	1041020010	200	1	1	1044070505	200	1	1	1044070605	200	1	1	1044060105	200	1	1	1044060405	200	1	1	1044030105	200	1	1	1044110105	200	1	1	1044120204	200	1	1	1044120305	200	1	1	1044031002	200	1	1	1044040302	200	1	1	1044010302	200	1	1	1045010344	250	1	1	1045010345	250	1	1	1045011002	100	1	1	1045000179	600	1	1	1045000181	200	1	1	1044100105	111	1	1	1050900022	401	1	1	1045000257	600	2	2	1045000258	200	2	2	1042010102	800	1	1	1041010013	600	1	1	1042200301	450	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																												
				素材之星·天上				素材之星·天下				巨神运动短裤				巨神西裤				巨神休闲裤				巨神牛仔裤				秘制血瓶				秘制蓝瓶				旋转霹雳球（六级）				野性激发（六级）				高级急救（六级）				纸牌旋涡（六级）				巨神战士宝石·天				巨神战士宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				高级连锁注射（六级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				二十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																																															
800024	0	0	0	1042200101	288	1	1	1042200201	200	1	1	1050302028	250	1	1	1050301028	250	1	1	1050303028	250	1	1	1050304028	250	1	1	1041010010	200	1	1	1041020010	212	1	1	1044070606	500	1	1	1044060406	500	1	1	1044030106	500	1	1	1044120205	500	1	1	1045010346	500	1	1	1045010347	500	1	1	1045011002	100	1	1	1045000179	700	1	1	1045000181	200	1	1	1044100106	250	1	1	1045000257	800	2	2	1045000258	200	1	1	1042010102	800	1	1	1041010013	450	1	1	1042200301	450	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																																																												
				素材之星·天上				素材之星·天下				怨念运动鞋				怨念皮鞋				怨念短靴				怨念板鞋				怨念手套				怨念皮手套				怨念橡胶手套				怨念霹雳手套				秘制血瓶	120			秘制蓝瓶	100			旋转霹雳球（七级）				野性激发（七级）				高级急救（七级）				纸牌旋涡（七级）				怨念集合体宝石·天				怨念集合体宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				高级连锁注射（七级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				二十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																															
800025	0	0	0	1042200101	200	1	1	1042200201	200	1	1	1050402029	200	1	1	1050401029	200	1	1	1050403029	200	1	1	1050404029	200	1	1	1050602029	200	1	1	1050601029	200	1	1	1050603029	250	1	1	1050604029	250	1	1	1041010010	200	1	1	1041020010	200	1	1	1044070607	450	1	1	1044060407	450	1	1	1044030107	450	1	1	1044120206	450	1	1	1045010348	400	1	1	1045010349	400	1	1	1045011002	100	1	1	1045000179	600	1	1	1045000181	200	1	1	1044100107	250	1	1	1045000257	600	2	2	1045000258	200	1	1	1042010102	800	1	1	1041010013	500	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																																												
				素材之星·天上				素材之星·天下				超音足球				超音手枪				超音针筒				超音墨镜				秘制血瓶				秘制蓝瓶				超音狂魔宝石·天				超音狂魔宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				旋转霹雳球（八级）				野性激发（八级）				高级急救（八级）				高级连锁注射（八级）				纸牌旋涡（八级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				二十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																																															
800026	0	0	0	1042200101	200	1	1	1042200201	200	1	1	1050007030	300	1	1	1050005030	250	1	1	1050010030	250	1	1	1050011030	250	1	1	1041010010	200	1	1	1041020010	200	1	1	1045010350	500	1	1	1045010351	500	1	1	1045011002	100	1	1	1045000179	800	1	1	1045000181	200	1	1	1044070608	400	1	1	1044060408	400	1	1	1044030108	400	1	1	1044100108	400	1	1	1044120208	400	1	1	1045000257	800	2	2	1045000258	200	1	1	1042010102	800	1	1	1041010013	600	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																																																												
				素材之星·天上				素材之星·天下				黑暗运动服				黑暗风衣				黑暗制服				黑暗牛仔服				秘制血瓶				秘制蓝瓶				黑暗预言者宝石·天				黑暗预言者宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				旋转霹雳球（九级）				野性激发（九级）				高级急救（九级）				高级连锁注射（九级）				纸牌旋涡（九级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				二十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																																															
800027	0	0	0	1042200101	200	1	1	1042200201	200	1	1	1050202031	310	1	1	1050201031	310	1	1	1050203031	310	1	1	1050204031	310	1	1	1041010010	300	1	1	1041020010	210	1	1	1045010352	400	1	1	1045010353	400	1	1	1045011002	100	1	1	1045000179	700	1	1	1045000181	200	1	1	1044070609	400	1	1	1044060409	400	1	1	1044030109	400	1	1	1044100109	400	1	1	1044120209	400	1	1	1045000257	800	2	2	1045000258	200	1	1	1042010102	800	1	1	1041010013	600	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																																																												
				素材之星·天上				素材之星·天下				炎火运动短裤				炎火西裤				炎火休闲裤				炎火牛仔裤				秘制血瓶				秘制蓝瓶				炎火剑士宝石·天				炎火剑士宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				旋转霹雳球（十级）				野性激发（十级）				高级急救（十级）				高级连锁注射（十级）				纸牌旋涡（十级）				爆破科技（三级）				潜能激发（三级）				能量聚合（三级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				二十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																																			
800028	0	0	0	1042200101	200	1	1	1042200201	200	1	1	1050302032	300	1	1	1050301032	300	1	1	1050303032	300	1	1	1050304032	300	1	1	1041010010	200	1	1	1041020010	200	1	1	1045010354	400	1	1	1045010355	400	1	1	1045011002	100	1	1	1045000179	600	1	1	1045000181	200	1	1	1044070610	300	1	1	1044060410	300	1	1	1044030110	300	1	1	1044100110	300	1	1	1044120210	300	1	1	1044010303	300	1	1	1044031003	300	1	1	1044040303	300	1	1	1045000257	600	2	2	1045000258	150	1	1	1042010102	800	1	1	1041010013	700	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																																																
				素材之星·天上				素材之星·天下				传奇运动鞋				传奇皮鞋				传奇短靴				传奇板鞋				传奇手套				传奇皮手套				传奇橡胶手套				传奇霹雳手套				秘制血瓶	120			秘制蓝瓶	100			传奇支配者宝石·天				传奇支配者宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				基础体能训练（一级）				国防身体（一级）				营养学（一级）				异体体能（一级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				三十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																																			
800029	0	0	0	1042200101	200	1	1	1042200201	200	1	1	1050402033	250	1	1	1050401033	250	1	1	1050403033	250	1	1	1050404033	250	1	1	1050602033	250	1	1	1050601033	200	1	1	1050603033	200	1	1	1050604033	200	1	1	1041010010	200	1	1	1041020010	200	1	1	1045010356	400	1	1	1045010357	400	1	1	1045011002	100	1	1	1045000179	600	1	1	1045000181	200	1	1	1044020001	450	1	1	1044010401	450	1	1	1044030601	450	1	1	1044120801	450	1	1	1045000257	700	2	2	1045000258	200	1	1	1042010102	700	1	1	1041010014	600	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																																																
				素材之星·天上				素材之星·天下				上古邪树足球				上古邪树手枪				上古邪树针筒				上古邪树墨镜				秘制血瓶				秘制蓝瓶				上古邪树宝石·天				上古邪树宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				基础体能训练（二级）				国防身体（二级）				营养学（二级）				异体体能（二级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				三十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																																																			
800030	0	0	0	1042200101	200	1	1	1042200201	200	1	1	1050007042	250	1	1	1050005042	250	1	1	1050010042	250	1	1	1050011042	250	1	1	1041010010	250	1	1	1041020010	250	1	1	1045010364	500	1	1	1045010365	500	1	1	1045011002	100	1	1	1045000179	700	1	1	1045000181	200	1	1	1044020002	500	1	1	1044010402	500	1	1	1044030602	500	1	1	1044120802	500	1	1	1045000257	800	2	2	1045000258	200	1	1	1042010102	800	1	1	1041010014	650	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																																																																
				素材之星·天上				素材之星·天下				邪恶之灵运动服				邪恶之灵风衣				邪恶之灵制服				邪恶之灵牛仔服				秘制血瓶				秘制蓝瓶				邪恶之灵宝石·天				邪恶之灵宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				基础体能训练（三级）				国防身体（三级）				营养学（三级）				异体体能（三级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				三十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																																																			
800031	0	0	0	1042200101	200	1	1	1042200201	200	1	1	1050202043	250	1	1	1050201043	250	1	1	1050203043	250	1	1	1050204043	250	1	1	1041010010	250	1	1	1041020010	250	1	1	1045010366	450	1	1	1045010367	450	1	1	1045011002	100	1	1	1045000179	700	1	1	1045000181	200	1	1	1044020003	500	1	1	1044010403	500	1	1	1044030603	500	1	1	1044120803	500	1	1	1045000257	850	2	2	1045000258	200	1	1	1042010102	900	1	1	1041010014	600	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																																																																
				素材之星·天上				素材之星·天下				镇山魔王运动短裤				镇山魔王西裤				镇山魔王休闲裤				镇山魔王牛仔裤				秘制血瓶				秘制蓝瓶				镇山魔王宝石·天				镇山魔王宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				基础体能训练（四级）				国防身体（四级）				营养学（四级）				异体体能（四级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				三十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																																																			
800032	0	0	0	1042200101	200	1	1	1042200201	200	1	1	1050302044	250	1	1	1050301044	250	1	1	1050303044	250	1	1	1050304044	250	1	1	1041010010	250	1	1	1041020010	250	1	1	1045010368	500	1	1	1045010369	500	1	1	1045011002	100	1	1	1045000179	700	1	1	1045000181	200	1	1	1044020004	500	1	1	1044010404	500	1	1	1044030604	500	1	1	1044120804	500	1	1	1045000257	800	2	2	1045000258	200	1	1	1042010102	900	1	1	1041010014	550	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																																																																																
				素材之星·天上				素材之星·天下				远古邪树运动鞋				远古邪树皮鞋				远古邪树短靴				远古邪树板鞋				远古邪树手套				远古邪树皮手套				远古邪树橡胶手套				远古邪树霹雳手套				秘制血瓶	120			秘制蓝瓶	100			远古邪树宝石·天				远古邪树宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				基础体能训练（五级）				国防身体（五级）				营养学（五级）				异体体能（五级）				旋转霹雳球（十一级）				爆炸汽油弹（十一级）				浪漫飞刀（十一级）				纸牌风暴（六级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				三十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																			
800033	0	0	0	1042200101	200	1	1	1042200201	200	1	1	1050402045	250	1	1	1050401045	250	1	1	1050403045	250	1	1	1050404045	250	1	1	1050602045	250	1	1	1050601045	250	1	1	1050603045	250	1	1	1050604045	250	1	1	1041010010	250	1	1	1041020010	230	1	1	1045010370	300	1	1	1045010371	300	1	1	1045011002	100	1	1	1045000179	350	1	1	1045000181	150	1	1	1044020005	250	1	1	1044010405	250	1	1	1044030605	250	1	1	1044120805	250	1	1	1044070611	250	1	1	1044060011	250	1	1	1044100411	250	1	1	1044120306	250	1	1	1045000257	550	2	2	1045000258	200	1	1	1042010102	800	1	1	1041010014	500	1	1	1042200301	600	1	1	1045010412	70	1	1	1042010106	400	1	1	1045000229	800	1	1																																																																																																
				素材之星·天上				素材之星·天下				袖珍怪猫足球				袖珍怪猫手枪				袖珍怪猫针筒				袖珍怪猫墨镜				秘制血瓶				秘制蓝瓶				袖珍怪猫·天				袖珍怪猫·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				猛虎式射门（一级）				穿甲弹（一级）				强心针（一级）				爆炸飞牌（一级）				闪电针（一级）				旋转霹雳球（十二级）				爆炸汽油弹（十二级）				浪漫飞刀（十二级）				纸牌风暴（七级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				三十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																															
800034	0	0	0	1042200101	200	1	1	1042200201	150	1	1	1050007046	350	1	1	1050005046	350	1	1	1050010046	350	1	1	1050011046	350	1	1	1041010010	250	1	1	1041020010	250	1	1	1045010376	440	1	1	1045010377	440	1	1	1045011002	100	1	1	1045000179	600	1	1	1045000181	200	1	1	1044070801	200	1	1	1044060701	200	1	1	1044030801	200	1	1	1044120501	200	1	1	1044030901	200	1	1	1044070612	200	1	1	1044060012	200	1	1	1044100412	200	1	1	1044120307	200	1	1	1045000257	700	2	2	1045000258	200	1	1	1042010102	800	1	1	1041010014	500	1	1	1042200301	700	1	1	1045010412	70	1	1	1042010106	400	1	1	1045000229	800	1	1																																																																																																												
				素材之星·天上				素材之星·天下				月玲珑运动服				月玲珑风衣				月玲珑制服				月玲珑牛仔服				秘制血瓶				秘制蓝瓶				月玲珑·天				月玲珑·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				猛虎式射门（二级）				穿甲弹（二级）				强心针（二级）				爆炸飞牌（二级）				闪电针（二级）				旋转霹雳球（十三级）				爆炸汽油弹（十三级）				浪漫飞刀（十三级）				纸牌风暴（八级）				旋转霹雳球（十四级）				爆炸汽油弹（十四级）				浪漫飞刀（十四级）				纸牌风暴（九级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				三十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																															
800035	0	0	0	1042200101	200	1	1	1042200201	150	1	1	1050202047	250	1	1	1050201047	250	1	1	1050203047	250	1	1	1050204047	250	1	1	1041010010	250	1	1	1041020010	250	1	1	1045010378	250	1	1	1045010379	250	1	1	1045011002	100	1	1	1045000179	400	1	1	1045000181	200	1	1	1044070802	200	1	1	1044060702	200	1	1	1044030802	200	1	1	1044120502	200	1	1	1044030902	200	1	1	1044070613	200	1	1	1044060013	200	1	1	1044100413	200	1	1	1044120308	250	1	1	1044070614	280	1	1	1044060014	300	1	1	1044100414	300	1	1	1044120309	300	1	1	1045000257	650	2	2	1045000258	200	1	1	1042010102	650	1	1	1041010014	450	1	1	1042200301	700	1	1	1045010412	70	1	1	1042010106	400	1	1	1045000229	800	1	1																																																																																												
				素材之星·天上				素材之星·天下				疯牛运动短裤				疯牛西裤				疯牛休闲裤				疯牛牛仔裤				秘制血瓶				秘制蓝瓶				疯牛蹄螗宝石·天				疯牛蹄螗宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				猛虎式射门（三级）				穿甲弹（三级）				强心针（三级）				爆炸飞牌（三级）				闪电针（三级）				旋转霹雳球（十五级）				爆炸汽油弹（十五级）				浪漫飞刀（十五级）				纸牌风暴（十级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				五十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																																															
800036	0	0	0	1042200101	200	1	1	1042200201	150	1	1	1050302048	350	1	1	1050301048	350	1	1	1050303048	350	1	1	1050304048	350	1	1	1041010010	250	1	1	1041020010	250	1	1	1045010380	400	1	1	1045010381	400	1	1	1045011002	100	1	1	1045000179	680	1	1	1045000181	200	1	1	1044070803	200	1	1	1044060703	200	1	1	1044030803	200	1	1	1044120503	200	1	1	1044030903	200	1	1	1044070615	200	1	1	1044060015	200	1	1	1044100415	200	1	1	1044120310	200	1	1	1045000257	750	2	2	1045000258	200	1	1	1042010102	750	1	1	1041010015	550	1	1	1042200301	650	1	1	1045010412	70	1	1	1042010106	400	1	1	1045000229	800	1	1																																																																																																												
				素材之星·天上				素材之星·天下				深渊运动鞋				深渊皮鞋				深渊短靴				深渊板鞋				深渊手套				深渊皮手套				深渊橡胶手套				深渊霹雳手套				秘制血瓶	0			秘制蓝瓶	0			深渊魔灵宝石·天				深渊魔灵宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				猛虎式射门（四级）				穿甲弹（四级）				强心针（四级）				爆炸飞牌（四级）				闪电针（四级）				基础体能训练（六级）				国防身体（六级）				营养学（六级）				异体体能（六级）				浪漫飞刀（十六级）				纸牌风暴（十一级）				爆炸汽油弹（十六级）				旋转霹雳球（十六级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				五十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																															
800037	0	0	0	1042200101	200	1	1	1042200201	150	1	1	1050402049	150	1	1	1050401049	150	1	1	1050403049	180	1	1	1050404049	150	1	1	1050602049	150	1	1	1050601049	150	1	1	1050603049	150	1	1	1050604049	150	1	1	1041010010	200	1	1	1041020010	200	1	1	1045010382	250	1	1	1045010383	250	1	1	1045011002	100	1	1	1045000179	650	1	1	1045000181	200	1	1	1044070804	200	1	1	1044060704	200	1	1	1044030804	200	1	1	1044120504	200	1	1	1044030904	200	1	1	1044020006	200	1	1	1044010406	200	1	1	1044030606	200	1	1	1044120806	200	1	1	1044100416	200	1	1	1044120311	200	1	1	1044060016	200	1	1	1044070616	200	1	1	1045000257	700	2	2	1045000258	200	1	1	1042010102	700	1	1	1041010015	500	1	1	1042200301	600	1	1	1045010412	70	1	1	1042010106	400	1	1	1045000229	800	1	1																																																																												
				素材之星·天上				素材之星·天下				海底邪树足球				海底邪树手枪				海底邪树针筒				海底邪树墨镜				海底邪树运动服				海底邪树风衣				海底邪树制服				海底邪树牛仔服				海底邪树运动短裤				海底邪树西裤				海底邪树休闲裤				海底邪树牛仔裤				海底邪树运动鞋				海底邪树皮鞋				海底邪树短靴				海底邪树板鞋				海底邪树手套				海底邪树皮手套				海底邪树橡胶手套				海底邪树霹雳手套				秘制血瓶				秘制蓝瓶				基础体能训练（七级）				营养学（七级）				异体体能（七级）				国防身体（七级）				海底邪树宝石·天				海底邪树宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				猛虎式射门（五级）				穿甲弹（五级）				强心针（五级）				爆炸飞牌（五级）				闪电针（五级）				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				五十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																															
