id	212	minMoney	maxMoney	minHonor	maxHonor	propId	dropRate	minNumber	maxNumber																																																																																																																																																																																																																																
组ID	掉钱数	最小钱	最大钱	最小荣誉	最大荣誉	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数
10154	33	23	40	0	0	1041010007	260	1	1	1041020007	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	2	1	2			巨型生命药水				巨型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10155	33	23	40	0	0	1041010007	260	1	1	1041020007	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	3	2	4			巨型生命药水				巨型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10156	33	23	40	0	0	1041010007	260	1	1	1041020007	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	5	4	6			巨型生命药水				巨型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10157	33	23	40	0	0	1041010007	260	1	1	1041020007	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	5	4	6			巨型生命药水				巨型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10158	34	24	41	0	0	1041010007	260	1	1	1041020007	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	6	4	7			巨型生命药水				巨型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10159	34	24	41	0	0	1041010007	260	1	1	1041020007	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	6	4	7			巨型生命药水				巨型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10160	34	24	41	0	0	1041010007	260	1	1	1041020007	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	6	4	7			巨型生命药水				巨型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10161	34	24	41	0	0	1041010007	260	1	1	1041020007	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	4	3	5			巨型生命药水				巨型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10162	34	24	41	0	0	1041010007	260	1	1	1041020007	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10163	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10164	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10165	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10166	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10167	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10168	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10169	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10170	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10171	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10172	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10173	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10174	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10175	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10176	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10177	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10178	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10179	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10180	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10181	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10182	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10183	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10184	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10185	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10186	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10187	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10188	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			超级血瓶				超级蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10189	34	24	41	0	0	1041010008	260	1	1	1041020008	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
	4	3	5			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10190	35	25	42	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10190.5	4	3	5			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10191	35	25	42	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10191.5	5	4	6			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10192	35	25	42	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10192.5	7	5	8			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10193	35	25	42	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10193.5	7	5	8			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10194	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10194.5	8	6	10			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10195	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10195.5	8	6	10			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10196	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10196.5	8	6	10			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10197	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10197.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10198	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10198.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10199	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10199.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10200	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10200.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10201	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10201.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10202	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10202.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10203	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10203.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10204	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10204.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10205	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10205.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10206	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10206.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10207	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10207.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10208	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10208.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10209	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10209.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10210	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10210.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10211	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10211.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10212	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10212.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10213	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10213.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10214	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10214.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10215	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10215.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10216	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10216.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10217	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10217.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10218	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10218.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10219	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10219.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10220	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10220.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10221	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10221.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10222	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10222.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10223	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10223.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10224	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10224.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10225	36	25	43	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10225.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10226	37	26	44	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10226.5	6	4	7			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10227	37	26	44	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10227.5	7	5	8			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10228	37	26	44	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10228.5	9	6	11			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10229	37	26	44	0	0	1041010009	260	1	1	1041020009	260	1	1	1041000001	10	1	1	1045000229	55	1	1																																																																																																																																																																																																																				
10229.5	9	6	11			巨型血瓶				巨型蓝瓶				回城卷轴				奇妙精华																																																																																																																																																																																																																							
